id,Symbol,Name
1342,CHGG,Chegg Inc. Common Stock
1343,CHH,Choice Hotels International Inc. Common Stock
1344,CHI,Calamos Convertible Opportunities and Income Fund Common Stock
1345,CHK,Chesapeake Energy Corporation Common Stock
1346,CHKEL,Chesapeake Energy Corporation Class C Warrants
1347,CHKEW,Chesapeake Energy Corporation Class A Warrants
1348,CHKEZ,Chesapeake Energy Corporation Class B Warrants
1349,CHKP,Check Point Software Technologies Ltd. Ordinary Shares
1350,CHMG,Chemung Financial Corp Common Stock
1351,CHMI,Cherry Hill Mortgage Investment Corporation Common Stock
1352,CHN,China Fund Inc. (The) Common Stock
1353,CHNG,Change Healthcare Inc. Common Stock
1354,CHNR,China Natural Resources Inc. Common Stock
1355,CHPT,ChargePoint Holdings Inc. Common Stock
1356,CHRA,Charah Solutions Inc. Common Stock
1357,CHRB,Charah Solutions Inc. 8.50% Senior Notes due 2026
1358,CHRD,Chord Energy Corporation Common Stock
1359,CHRS,Coherus BioSciences Inc. Common Stock
1360,CHRW,C.H. Robinson Worldwide Inc. Common Stock
1361,CHS,Chico's FAS Inc. Common Stock
1362,CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4
1363,CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3
1364,CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate
1365,CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock
1366,CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock
1367,CHT,Chunghwa Telecom Co. Ltd.
1368,CHTR,Charter Communications Inc. Class A Common Stock New
1369,CHUY,Chuy's Holdings Inc. Common Stock
1370,CHW,Calamos Global Dynamic Income Fund Common Stock
1371,CHWA,CHW Acquisition Corporation Ordinary Share
1372,CHWAW,CHW Acquisition Corporation Warrant
1373,CHWY,Chewy Inc. Class A Common Stock
1374,CHX,ChampionX Corporation Common Stock 
1375,CHY,Calamos Convertible and High Income Fund Common Stock
1376,CI,Cigna Corporation Common Stock
1377,CIA,Citizens Inc. Class A Common Stock ($1.00 Par)
1378,CIB,BanColombia S.A. Common Stock
1379,CIDM,Cinedigm Corp. Class A Common Stock
1380,CIEN,Ciena Corporation Common Stock
1381,CIF,MFS Intermediate High Income Fund Common Stock
1382,CIFR,Cipher Mining Inc. Common Stock
1383,CIFRW,Cipher Mining Inc. Warrant
1384,CIG,Comp En De Mn Cemig ADS American Depositary Shares
1385,CIGI,Colliers International Group Inc. Subordinate Voting Shares
1386,CIH,China Index Holdings Limited American Depository Shares
1387,CII,Blackrock Capital and Income Fund Inc.
1388,CIIGW,CIIG Capital Partners II Inc. Warrant
1389,CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock
1390,CIM,Chimera Investment Corporation Common Stock
1391,CINC,CinCor Pharma Inc. Common Stock
1392,CINF,Cincinnati Financial Corporation Common Stock
1393,CING,Cingulate Inc. Common Stock
1394,CINT,CI&T Inc Class A Common Shares
1395,CIO,City Office REIT Inc. Common Stock
1396,CION,CION Investment Corporation Common Stock
1397,CIR,CIRCOR International Inc. Common Stock
1398,CISO,Cerberus Cyber Sentinel Corporation Common Stock
1399,CITEW,Cartica Acquisition Corp Warrant
1400,CIVB,Civista Bancshares Inc. Common Stock
1401,CIVI,Civitas Resources Inc. Common Stock
1402,CIX,CompX International Inc. Common Stock
1403,CIXX,CI Financial Corp. Common Shares
1404,CIZN,Citizens Holding Company Common Stock
1405,CJJD,China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares
1406,CKPT,Checkpoint Therapeutics Inc. Common Stock
1407,CKX,CKX Lands Inc. Common Stock
1408,CL,Colgate-Palmolive Company Common Stock
1409,CLAQW,CleanTech Acquisition Corp. Warrant
1410,CLAR,Clarus Corporation Common Stock
1411,CLAS,Class Acceleration Corp. Class A Common Stock
1412,CLAYU,Chavant Capital Acquisition Corp. Unit
1413,CLB,Core Laboratories N.V. Common Stock
1414,CLBK,Columbia Financial Inc. Common Stock
1415,CLBS,Caladrius Biosciences Inc. Common Stock
1416,CLBT,Cellebrite DI Ltd. Ordinary Shares
1417,CLBTW,Cellebrite DI Ltd. Warrants
1418,CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest
1419,CLDX,Celldex Therapeutics Inc.
1420,CLEU,China Liberal Education Holdings Limited Ordinary Shares
1421,CLF,Cleveland-Cliffs Inc. Common Stock
1422,CLFD,Clearfield Inc. Common Stock
1423,CLGN,CollPlant Biotechnologies Ltd Ordinary Shares
1424,CLH,Clean Harbors Inc. Common Stock
1425,CLIM,Climate Real Impact Solutions II Acquisition Corporation Class A Common Stock
1426,CLIR,ClearSign Technologies Corporation Common Stock
1427,CLLS,Cellectis S.A. American Depositary Shares
1428,CLM,Cornerstone Strategic Value Fund Inc. New Common Stock
1429,CLMT,Calumet Specialty Products Partners L.P. Common Units
1430,CLNE,Clean Energy Fuels Corp. Common Stock
1431,CLNN,Clene Inc. Common Stock
1432,CLOV,Clover Health Investments Corp. Class A Common Stock
1433,CLPR,Clipper Realty Inc. Common Stock
1434,CLPS,CLPS Incorporation Common Stock
1435,CLPT,ClearPoint Neuro Inc. Common Stock
1436,CLR,Continental Resources Inc. Common Stock
1437,CLRB,Cellectar Biosciences Inc.  Common Stock
1438,CLRO,ClearOne Inc. (DE) Common Stock
1439,CLS,Celestica Inc. Common Stock
1440,CLSD,Clearside Biomedical Inc. Common Stock
1441,CLSK,CleanSpark Inc. Common Stock
1442,CLSN,Celsion Corporation Common Stock
1443,CLST,Catalyst Bancorp Inc. Common Stock
1444,CLVR,Clever Leaves Holdings Inc. Common Shares
1445,CLVRW,Clever Leaves Holdings Inc. Warrant
1446,CLVS,Clovis Oncology Inc. Common Stock
1447,CLVT,Clarivate Plc Ordinary Shares
1448,CLW,Clearwater Paper Corporation Common Stock
1449,CLWT,Euro Tech Holdings Company Limited Common Stock
1450,CLX,Clorox Company (The) Common Stock
1451,CLXT,Calyxt Inc. Common Stock
1452,CM,Canadian Imperial Bank of Commerce Common Stock
1453,CMA,Comerica Incorporated Common Stock
1454,CMAX,CareMax Inc. Class A Common Stock
1455,CMAXW,CareMax Inc. Warrant
1456,CMBM,Cambium Networks Corporation Ordinary Shares
1457,CMC,Commercial Metals Company Common Stock
1458,CMCA,Capitalworks Emerging Markets Acquisition Corp Class A Ordinary Shares
1459,CMCL,Caledonia Mining Corporation Plc Common Shares
1460,CMCM,Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares
1461,CMCO,Columbus McKinnon Corporation Common Stock
1462,CMCSA,Comcast Corporation Class A Common Stock
1463,CMCT,Creative Media & Community Trust Corporation Common stock
1464,CME,CME Group Inc. Class A Common Stock
1465,CMG,Chipotle Mexican Grill Inc. Common Stock
1466,CMI,Cummins Inc. Common Stock
1467,CMLS,Cumulus Media Inc. Class A Common Stock
1468,CMMB,Chemomab Therapeutics Ltd. American Depositary Share
1469,CMP,Compass Minerals Intl Inc Common Stock
1470,CMPO,CompoSecure Inc. Class A Common Stock
1471,CMPOW,CompoSecure Inc. Warrant
1472,CMPR,Cimpress plc Ordinary Shares (Ireland)
1473,CMPS,COMPASS Pathways Plc American Depository Shares
1474,CMPX,Compass Therapeutics Inc. Common Stock
1475,CMRA,Comera Life Sciences Holdings Inc. Common Stock
1476,CMRAW,Comera Life Sciences Holdings Inc. Warrant
1477,CMRE,Costamare Inc. Common Stock $0.0001 par value
1478,CMRX,Chimerix Inc. Common Stock
1479,CMS,CMS Energy Corporation Common Stock
1480,CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078
1481,CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078
1482,CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079
1483,CMT,Core Molding Technologies Inc Common Stock
1484,CMTG,Claros Mortgage Trust Inc. Common Stock
1485,CMTL,Comtech Telecommunications Corp. Common Stock
1486,CMU,MFS Municipal Income Trust Common Stock
1487,CNA,CNA Financial Corporation Common Stock
1488,CNC,Centene Corporation Common Stock
1489,CNCE,Concert Pharmaceuticals Inc. Common Stock
1490,CND,Concord Acquisition Corp. Class A Common Stock
1491,CNDB,Concord Acquisition Corp III Class A Common Stock
1492,CNDT,Conduent Incorporated Common Stock 
1493,CNET,ZW Data Action Technologies Inc. Common Stock
1494,CNEY,CN Energy Group Inc. Ordinary Shares
1495,CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares
1496,CNFRL,Conifer Holdings Inc. 6.75% Senior Unsecured Notes due 2023
1497,CNHI,CNH Industrial N.V. Common Shares
1498,CNI,Canadian National Railway Company Common Stock
1499,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock
1500,CNM,Core & Main Inc. Class A Common Stock
1501,CNMD,CONMED Corporation Common Stock
1502,CNNB,Cincinnati Bancorp Inc. Common Stock
1503,CNNE,Cannae Holdings Inc. Common Stock
1504,CNO,CNO Financial Group Inc. Common Stock
1505,CNOB,ConnectOne Bancorp Inc. Common Stock
1506,CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A
1507,CNP,CenterPoint Energy Inc (Holding Co) Common Stock
1508,CNQ,Canadian Natural Resources Limited Common Stock
1509,CNR,Cornerstone Building Brands Inc. Common Stock
1510,CNS,Cohen & Steers Inc Common Stock
1511,CNSL,Consolidated Communications Holdings Inc. Common Stock
1512,CNSP,CNS Pharmaceuticals Inc. Common Stock
1513,CNTA,Centessa Pharmaceuticals plc American Depositary Shares
1514,CNTB,Connect Biopharma Holdings Limited American Depositary Shares
1515,CNTG,Centogene N.V. Common Shares
1516,CNTQ,Chardan NexTech Acquisition 2 Corp. Class A Common Stock
1517,CNTQW,Chardan NexTech Acquisition 2 Corp. Warrant
1518,CNTX,Context Therapeutics Inc. Common Stock
1519,CNTY,Century Casinos Inc. Common Stock
1520,CNVY,Convey Health Solutions Holdings Inc. Common Stock
1521,CNX,CNX Resources Corporation Common Stock
1522,CNXA,Connexa Sports Technologies Inc. Common Stock
1523,CNXC,Concentrix Corporation Common Stock
1524,CNXN,PC Connection Inc. Common Stock
1525,CO,Global Cord Blood Corporation Common Stock
1526,COCO,The Vita Coco Company Inc. Common Stock
1527,COCP,Cocrystal Pharma Inc. Common Stock
1528,CODA,Coda Octopus Group Inc. Common stock
1529,CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest
1530,CODX,Co-Diagnostics Inc. Common Stock
1531,COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares
1532,COF,Capital One Financial Corporation Common Stock
1533,COFS,ChoiceOne Financial Services Inc. Common Stock
1534,COGT,Cogent Biosciences Inc. Common Stock
1535,COHN,Cohen & Company Inc.
1536,COHU,Cohu Inc. Common Stock
1537,COIN,Coinbase Global Inc. Class A Common Stock
1538,COKE,Coca-Cola Consolidated Inc. Common Stock
1539,COLB,Columbia Banking System Inc. Common Stock
1540,COLD,Americold Realty Trust Inc. Common Stock
1541,COLI,Colicity Inc. Class A Common Stock
1542,COLIU,Colicity Inc. Units
1543,COLIW,Colicity Inc. Warrant
1544,COLL,Collegium Pharmaceutical Inc. Common Stock
1545,COLM,Columbia Sportswear Company Common Stock
1546,COMM,CommScope Holding Company Inc. Common Stock
1547,COMP,Compass Inc. Class A Common Stock
1548,COMS,ComSovereign Holding Corp. Common Stock
1549,COMSP,ComSovereign Holding Corp. 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock
1550,COMSW,ComSovereign Holding Corp. Warrants
1551,CONN,Conn's Inc. Common Stock
1552,CONX,CONX Corp. Class A Common Stock
1553,CONXW,CONX Corp. Warrant
1554,COO,The Cooper Companies Inc. Common Stock
1555,COOK,Traeger Inc. Common Stock
1556,COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares
1557,COOLU,Corner Growth Acquisition Corp. Unit
1558,COOP,Mr. Cooper Group Inc. Common Stock
1559,COP,ConocoPhillips Common Stock
1560,CORR,CorEnergy Infrastructure Trust Inc. Common Stock
1561,CORS,Corsair Partnering Corporation Class A Ordinary Shares
1562,CORT,Corcept Therapeutics Incorporated Common Stock
1563,CORZ,Core Scientific Inc. Common Stock
1564,CORZW,Core Scientific Inc. Warrant
1565,COSM,Cosmos Holdings Inc. Common Stock
1566,COST,Costco Wholesale Corporation Common Stock
1567,COTY,Coty Inc. Class A Common Stock
1568,COUP,Coupa Software Incorporated Common Stock
1569,COUR,Coursera Inc. Common Stock
1570,COVA,COVA Acquisition Corp. Class A Ordinary Share
1571,COVAU,COVA Acquisition Corp. Unit
1572,COVAW,COVA Acquisition Corp. Warrants to purchase Class A ordinary shares
1573,COWN,Cowen Inc. Class A Common Stock
1574,COWNL,Cowen Inc. 7.75% Senior Notes due 2033
1575,CP,Canadian Pacific Railway Limited Common Stock
1576,CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock
1577,CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)
1578,CPAR,Catalyst Partners Acquisition Corp. Class A Ordinary Share
1579,CPARU,Catalyst Partners Acquisition Corp. Unit
1580,CPARW,Catalyst Partners Acquisition Corp. Warrant
1581,CPB,Campbell Soup Company Common Stock
1582,CPE,Callon Petroleum Company Common Stock
1583,CPF,Central Pacific Financial Corp New
1584,CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
1585,CPHC,Canterbury Park Holding Corporation 'New' Common Stock
1586,CPHI,China Pharma Holdings Inc. Common Stock
1587,CPIX,Cumberland Pharmaceuticals Inc. Common Stock
1588,CPK,Chesapeake Utilities Corporation Common Stock
1589,CPLP,Capital Product Partners L.P. Common Units
1590,CPNG,Coupang Inc. Class A Common Stock
1591,CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares
1592,CPRI,Capri Holdings Limited Ordinary Shares
1593,CPRT,Copart Inc. (DE) Common Stock
1594,CPRX,Catalyst Pharmaceuticals Inc. Common Stock
1595,CPS,Cooper-Standard Holdings Inc. Common Stock
1596,CPSH,CPS Technologies Corp. Common Stock
1597,CPSI,Computer Programs and Systems Inc. Common Stock
1598,CPSS,Consumer Portfolio Services Inc. Common Stock
1599,CPT,Camden Property Trust Common Stock
1600,CPTK,Crown PropTech Acquisitions Class A Ordinary Shares
1601,CPTN,Cepton Inc. Common Stock
1602,CPTNW,Cepton Inc. Warrant
1603,CPUH,Compute Health Acquisition Corp. Class A Common Stock
1604,CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock
1605,CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units
1606,CR,Crane Holdings Co. Common Stock
1607,CRAI,CRA International Inc. Common Stock
1608,CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock
1609,CRBU,Caribou Biosciences Inc. Common Stock
1610,CRC,California Resources Corporation Common Stock
1611,CRCT,Cricut Inc. Class A Common Stock
1612,CRDF,Cardiff Oncology Inc. Common Stock
1613,CRDL,Cardiol Therapeutics Inc. Class A Common Shares
1614,CRDO,Credo Technology Group Holding Ltd Ordinary Shares
1615,CREC,Crescera Capital Acquisition Corp Class A Ordinary Shares
1616,CREG,Smart Powerr Corp. Common Stock
1617,CRESW,Cresud S.A.C.I.F. y A. Warrant
1618,CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares
1619,CREX,Creative Realities Inc. Common Stock
1620,CRF,Cornerstone Total Return Fund Inc. (The) Common Stock
1621,CRGE,Charge Enterprises Inc. Common Stock
1622,CRGY,Crescent Energy Company Class A Common Stock
1623,CRH,CRH PLC American Depositary Shares
1624,CRHC,Cohn Robbins Holdings Corp. Class A Ordinary Shares
1625,CRI,Carter's Inc. Common Stock
1626,CRIS,Curis Inc. Common Stock
1627,CRK,Comstock Resources Inc. Common Stock
1628,CRKN,Crown Electrokinetics Corp. Common Stock
1629,CRL,Charles River Laboratories International Inc. Common Stock
1630,CRM,Salesforce Inc. Common Stock
1631,CRMD,CorMedix Inc. Common Stock
1632,CRMT,America's Car-Mart Inc Common Stock
1633,CRNC,Cerence Inc. Common Stock
1634,CRNT,Ceragon Networks Ltd. Ordinary Shares
1635,CRNX,Crinetics Pharmaceuticals Inc. Common Stock
1636,CRON,Cronos Group Inc. Common Share
1637,CROX,Crocs Inc. Common Stock
1638,CRS,Carpenter Technology Corporation Common Stock
1639,CRSP,CRISPR Therapeutics AG Common Shares
1640,CRSR,Corsair Gaming Inc. Common Stock
1641,CRT,Cross Timbers Royalty Trust Common Stock
1642,CRTD,Creatd Inc. Common Stock
1643,CRTDW,Creatd Inc. Warrant
1644,CRTO,Criteo S.A. American Depositary Shares
1645,CRTX,Cortexyme Inc. Common Stock
1646,CRU,Crucible Acquisition Corporation Class A Common Stock
1647,CRUS,Cirrus Logic Inc. Common Stock
1648,CRVL,CorVel Corp. Common Stock
1649,CRVS,Corvus Pharmaceuticals Inc. Common Stock
1650,CRWD,CrowdStrike Holdings Inc. Class A Common Stock
1651,CRWS,Crown Crafts Inc Common Stock
1652,CRXT,Clarus Therapeutics Holdings Inc. Common Stock
1653,CRXTW,Clarus Therapeutics Holdings Inc. Warrants
1654,CS,Credit Suisse Group American Depositary Shares
1655,CSAN,Cosan S.A. ADS
1656,CSBR,Champions Oncology Inc. Common Stock
1657,CSCO,Cisco Systems Inc. Common Stock (DE)
1658,CSCW,Color Star Technology Co. Ltd. Ordinary Shares
1659,CSGP,CoStar Group Inc. Common Stock
1660,CSGS,CSG Systems International Inc. Common Stock
1661,CSII,Cardiovascular Systems Inc. Common Stock
1662,CSIQ,Canadian Solar Inc. Common Shares (BC)
1663,CSL,Carlisle Companies Incorporated Common Stock
1664,CSPI,CSP Inc. Common Stock
1665,CSQ,Calamos Strategic Total Return Common Stock
1666,CSR,D/B/A Centerspace Common Stock
1667,CSSE,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock
1668,CSSEN,Chicken Soup for the Soul Entertainment Inc. 9.50% Notes due 2025
1669,CSSEP,Chicken Soup for the Soul Entertainment Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock
1670,CSTE,Caesarstone Ltd. Ordinary Shares
1671,CSTL,Castle Biosciences Inc. Common Stock
1672,CSTM,Constellium SE Ordinary Shares (France)
1673,CSTR,CapStar Financial Holdings Inc. Common Stock
1674,CSV,Carriage Services Inc. Common Stock
1675,CSWC,Capital Southwest Corporation Common Stock
1676,CSWI,CSW Industrials Inc. Common Stock
1677,CSX,CSX Corporation Common Stock
1678,CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock
1679,CTAS,Cintas Corporation Common Stock
1680,CTBB,Qwest Corporation 6.5% Notes due 2056
1681,CTBI,Community Trust Bancorp Inc. Common Stock
1682,CTDD,Qwest Corporation 6.75% Notes due 2057
1683,CTEK,CynergisTek Inc. Common Stock
1684,CTG,Computer Task Group Inc. Common Stock
1685,CTGO,Contango ORE Inc. Common Stock
1686,CTHR,Charles & Colvard Ltd Common Stock
1687,CTIB,Yunhong CTI Ltd. Common Stock
1688,CTIC,CTI BioPharma Corp. (DE) Common Stock
1689,CTKB,Cytek Biosciences Inc. Common Stock
1690,CTLP,Cantaloupe Inc. Common Stock
1691,CTLT,Catalent Inc. Common Stock
1692,CTMX,CytomX Therapeutics Inc. Common Stock
1693,CTO,CTO Realty Growth Inc. Common Stock
1694,CTOS,Custom Truck One Source Inc. Common Stock
1695,CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock
1696,CTRA,Coterra Energy Inc. Common Stock
1697,CTRE,CareTrust REIT Inc. Common Stock
1698,CTRM,Castor Maritime Inc. Common Shares
1699,CTRN,Citi Trends Inc. Common Stock
1700,CTS,CTS Corporation Common Stock
1701,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
1702,CTSO,Cytosorbents Corporation Common Stock
1703,CTT,CatchMark Timber Trust Inc. Class A Common Stock
1704,CTV,Innovid Corp. Common Stock
1705,CTVA,Corteva Inc. Common Stock 
1706,CTXR,Citius Pharmaceuticals Inc. Common Stock
1707,CTXRW,Citius Pharmaceuticals Inc. Warrant
1708,CTXS,Citrix Systems Inc. Common Stock
1709,CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock
1710,CUBE,CubeSmart Common Shares
1711,CUBI,Customers Bancorp Inc Common Stock
1712,CUE,Cue Biopharma Inc. Common Stock
1713,CUEN,Cuentas Inc. Common Stock
1714,CUK,Carnival Plc ADS ADS
1715,CULL,Cullman Bancorp Inc. Common Stock
1716,CULP,Culp Inc. Common Stock
1717,CURI,CuriosityStream Inc. Class A Common Stock
1718,CURO,CURO Group Holdings Corp. Common Stock
1719,CURV,Torrid Holdings Inc. Common Stock
1720,CUTR,Cutera Inc. Common Stock
1721,CUZ,Cousins Properties Incorporated Common Stock
1722,CVAC,CureVac N.V. Ordinary Shares
1723,CVBF,CVB Financial Corporation Common Stock
1724,CVCO,Cavco Industries Inc. Common Stock When Issued
1725,CVCY,Central Valley Community Bancorp Common Stock
1726,CVE,Cenovus Energy Inc Common Stock
1727,CVEO,Civeo Corporation (Canada) Common Shares
1728,CVET,Covetrus Inc. Common Stock
1729,CVGI,Commercial Vehicle Group Inc. Common Stock
1730,CVGW,Calavo Growers Inc. Common Stock
1731,CVI,CVR Energy Inc. Common Stock
1732,CVII,Churchill Capital Corp VII Class A Common Stock
1733,CVLG,Covenant Logistics Group Inc. Class A Common Stock
1734,CVLT,Commvault Systems Inc. Common Stock
1735,CVLY,Codorus Valley Bancorp Inc Common Stock
1736,CVM,Cel-Sci Corporation Common Stock
1737,CVNA,Carvana Co. Class A Common Stock
1738,CVR,Chicago Rivet & Machine Co. Common Stock
1739,CVRX,CVRx Inc. Common Stock
1740,CVS,CVS Health Corporation Common Stock
1741,CVT,Cvent Holding Corp. Common Stock
1742,CVV,CVD Equipment Corporation Common Stock
1743,CVX,Chevron Corporation Common Stock
1744,CW,Curtiss-Wright Corporation Common Stock
1745,CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock
1746,CWBC,Community West Bancshares Common Stock
1747,CWBR,CohBar Inc. Common Stock
1748,CWCO,Consolidated Water Co. Ltd. Ordinary Shares
1749,CWEN,Clearway Energy Inc. Class C Common Stock
1750,CWH,Camping World Holdings Inc. Class A Commom Stock
1751,CWK,Cushman & Wakefield plc Ordinary Shares
1752,CWST,Casella Waste Systems Inc. Class A Common Stock
1753,CWT,California Water Service Group Common Stock
1754,CX,Cemex S.A.B. de C.V. Sponsored ADR
1755,CXAC,C5 Acquisition Corporation Class A Common Stock
1756,CXDO,Crexendo Inc. Common Stock
1757,CXE,MFS High Income Municipal Trust Common Stock
1758,CXH,MFS Investment Grade Municipal Trust Common Stock
1759,CXM,Sprinklr Inc. Class A Common Stock
1760,CXW,CoreCivic Inc. Common Stock
1761,CYAN,Cyanotech Corporation Common Stock
1762,CYBE,CyberOptics Corporation Common Stock
1763,CYBN,Cybin Inc. Common Shares
1764,CYBR,CyberArk Software Ltd. Ordinary Shares
1765,CYCC,Cyclacel Pharmaceuticals Inc. Common Stock
1766,CYCCP,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock
1767,CYCN,Cyclerion Therapeutics Inc. Common Stock
1768,CYD,China Yuchai International Limited Common Stock
1769,CYH,Community Health Systems Inc. Common Stock
1770,CYN,Cyngn Inc. Common Stock
1771,CYRN,CYREN Ltd. Ordinary Shares
1772,CYRX,CryoPort Inc. Common Stock
1773,CYT,Cyteir Therapeutics Inc. Common Stock
1774,CYTH,Cyclo Therapeutics Inc. Common Stock
1775,CYTK,Cytokinetics Incorporated Common Stock
1776,CYTO,Altamira Therapeutics Ltd. Common Shares 0.01 SF (Bermuda)
1777,CYXT,Cyxtera Technologies Inc. Class A Common Stock
1778,CZNC,Citizens & Northern Corp Common Stock
1779,CZOO,Cazoo Group Ltd Class A Ordinary Shares
1780,CZR,Caesars Entertainment Inc. Common Stock
1781,CZWI,Citizens Community Bancorp Inc. Common Stock
1782,D,Dominion Energy Inc. Common Stock
1783,DAC,Danaos Corporation Common Stock
1784,DADA,Dada Nexus Limited American Depositary Shares
1785,DAIO,Data I/O Corporation Common Stock
1786,DAKT,Daktronics Inc. Common Stock
1787,DAL,Delta Air Lines Inc. Common Stock
1788,DALN,DallasNews Corporation Series A Common Stock
1789,DAN,Dana Incorporated Common Stock 
1790,DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share
1791,DAOO,Crypto 1 Acquisition Corp Class A Ordinary Shares
1792,DAOOU,Crypto 1 Acquisition Corp Unit
1793,DAOOW,Crypto 1 Acquisition Corp Warrants
1794,DAR,Darling Ingredients Inc. Common Stock
1795,DARE,Dare Bioscience Inc. Common Stock
1796,DASH,DoorDash Inc. Class A Common Stock
1797,DATS,DatChat Inc. Common Stock
1798,DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share)
1799,DAVE,Dave Inc. Class A Common Stock
1800,DAVEW,Dave Inc. Warrants
1801,DAWN,Day One Biopharmaceuticals Inc. Common Stock
1802,DB,Deutsche Bank AG Common Stock
1803,DBD,Diebold Nixdorf Incorporated Common Stock
1804,DBGI,Digital Brands Group Inc. Common Stock
1805,DBI,Designer Brands Inc. Class A Common Stock
1806,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest
1807,DBRG,DigitalBridge Group Inc.
1808,DBTX,Decibel Therapeutics Inc. Common Stock
1809,DBVT,DBV Technologies S.A. American Depositary Shares
1810,DBX,Dropbox Inc. Class A Common Stock
1811,DC,Dakota Gold Corp. Common Stock
1812,DCBO,Docebo Inc. Common Shares
1813,DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock
1814,DCFC,Tritium DCFC Limited Ordinary Shares
1815,DCFCW,Tritium DCFC Limited Warrant
1816,DCGO,DocGo Inc. Common Stock
1817,DCGOW,DocGo Inc. Warrants
1818,DCI,Donaldson Company Inc. Common Stock
1819,DCO,Ducommun Incorporated Common Stock
1820,DCOM,Dime Community Bancshares Inc. Common Stock
1821,DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A
1822,DCP,DCP Midstream  LP Common Units 
1823,DCPH,Deciphera Pharmaceuticals Inc. Common Stock
1824,DCRD,Decarbonization Plus Acquisition Corporation IV Class A Ordinary Share
1825,DCRDW,Decarbonization Plus Acquisition Corporation IV Warrant
1826,DCT,Duck Creek Technologies Inc. Common Stock
1827,DCTH,Delcath Systems Inc. Common Stock
1828,DD,DuPont de Nemours Inc. Common Stock
1829,DDD,3D Systems Corporation Common Stock
1830,DDF,Delaware Investments Dividend & Income Fund Inc. Common Stock
1831,DDI,DoubleDown Interactive Co. Ltd. American Depository Shares
1832,DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
1833,DDOG,Datadog Inc. Class A Common Stock
1834,DDS,Dillard's Inc. Common Stock
1835,DDT,Dillard's Capital Trust I
1836,DE,Deere & Company Common Stock
1837,DEA,Easterly Government Properties Inc. Common Stock
1838,DECA,Denali Capital Acquisition Corp. Class A Ordinary Shares
1839,DECK,Deckers Outdoor Corporation Common Stock
1840,DEI,Douglas Emmett Inc. Common Stock
1841,DELL,Dell Technologies Inc. Class C Common Stock 
1842,DEN,Denbury Inc. Common Stock
1843,DENN,Denny's Corporation Common Stock
1844,DEO,Diageo plc Common Stock
1845,DESP,Despegar.com Corp. Ordinary Shares
1846,DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest
1847,DFFN,Diffusion Pharmaceuticals Inc. Common Stock
1848,DFH,Dream Finders Homes Inc. Class A Common Stock
1849,DFIN,Donnelley Financial Solutions Inc. Common Stock 
1850,DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock
